Us,Ul,Ut,D,x,x/L,r/R,Solids Holdup
0.75,11.2,7.1,500,1,0.17,0,0.0792
0.75,11.2,7.1,500,1,0.17,0.2,0.0792
0.75,11.2,7.1,500,1,0.17,0.49,0.0818
0.75,11.2,7.1,500,1,0.17,0.64,0.0844
0.75,11.2,7.1,500,1,0.17,0.76,0.085
0.75,11.2,7.1,500,1,0.17,0.86,0.0935
0.75,11.2,7.1,500,1,0.17,0.95,0.1006
0.98,11.2,7.1,500,1,0.17,0,0.09
0.98,11.2,7.1,500,1,0.17,0.2,0.09
0.98,11.2,7.1,500,1,0.17,0.49,0.0926
0.98,11.2,7.1,500,1,0.17,0.64,0.0952
0.98,11.2,7.1,500,1,0.17,0.76,0.0962
0.98,11.2,7.1,500,1,0.17,0.86,0.1041
0.98,11.2,7.1,500,1,0.17,0.95,0.1108
1.16,11.2,7.1,500,1,0.17,0,0.1134
1.16,11.2,7.1,500,1,0.17,0.2,0.1134
1.16,11.2,7.1,500,1,0.17,0.49,0.1153
1.16,11.2,7.1,500,1,0.17,0.64,0.1171
1.16,11.2,7.1,500,1,0.17,0.76,0.1201
1.16,11.2,7.1,500,1,0.17,0.86,0.1279
1.16,11.2,7.1,500,1,0.17,0.95,0.1346
0.95,22.4,7.1,500,1,0.17,0,0.0589
0.95,22.4,7.1,500,1,0.17,0.2,0.0589
0.95,22.4,7.1,500,1,0.17,0.49,0.0596
0.95,22.4,7.1,500,1,0.17,0.64,0.0603
0.95,22.4,7.1,500,1,0.17,0.76,0.0682
0.95,22.4,7.1,500,1,0.17,0.86,0.0745
0.95,22.4,7.1,500,1,0.17,0.95,0.0781
1.37,22.4,7.1,500,1,0.17,0,0.0631
1.37,22.4,7.1,500,1,0.17,0.2,0.0631
1.37,22.4,7.1,500,1,0.17,0.49,0.0638
1.37,22.4,7.1,500,1,0.17,0.64,0.0645
1.37,22.4,7.1,500,1,0.17,0.76,0.0728
1.37,22.4,7.1,500,1,0.17,0.86,0.079
1.37,22.4,7.1,500,1,0.17,0.95,0.0826
1.19,35,7.1,500,1,0.17,0,0.036
1.19,35,7.1,500,1,0.17,0.2,0.036
1.19,35,7.1,500,1,0.17,0.49,0.037
1.19,35,7.1,500,1,0.17,0.64,0.0379
1.19,35,7.1,500,1,0.17,0.76,0.0395
1.19,35,7.1,500,1,0.17,0.86,0.0437
1.19,35,7.1,500,1,0.17,0.95,0.0471
1.72,33.6,7.1,500,1,0.17,0,0.041
1.72,33.6,7.1,500,1,0.17,0.2,0.041
1.72,33.6,7.1,500,1,0.17,0.49,0.0418
1.72,33.6,7.1,500,1,0.17,0.64,0.0425
1.72,33.6,7.1,500,1,0.17,0.76,0.0447
1.72,33.6,7.1,500,1,0.17,0.86,0.0492
1.72,33.6,7.1,500,1,0.17,0.95,0.0529
0.95,8.4,7.1,500,1,0.17,0,0.1337
0.95,8.4,7.1,500,1,0.17,0.2,0.1337
0.95,8.4,7.1,500,1,0.17,0.49,0.1357
0.95,8.4,7.1,500,1,0.17,0.64,0.1376
0.95,8.4,7.1,500,1,0.17,0.76,0.1394
0.95,8.4,7.1,500,1,0.17,0.86,0.1459
0.95,8.4,7.1,500,1,0.17,0.95,0.1512
0.95,11.2,7.1,500,1,0.17,0,0.0903
0.95,11.2,7.1,500,1,0.17,0.2,0.0903
0.95,11.2,7.1,500,1,0.17,0.49,0.0926
0.95,11.2,7.1,500,1,0.17,0.64,0.0949
0.95,11.2,7.1,500,1,0.17,0.76,0.0957
0.95,11.2,7.1,500,1,0.17,0.86,0.1028
0.95,11.2,7.1,500,1,0.17,0.95,0.1087
1.37,22.4,7.1,500,1,0.17,0,0.0631
1.37,22.4,7.1,500,1,0.17,0.2,0.0631
1.37,22.4,7.1,500,1,0.17,0.49,0.0638
1.37,22.4,7.1,500,1,0.17,0.64,0.0645
1.37,22.4,7.1,500,1,0.17,0.76,0.0728
1.37,22.4,7.1,500,1,0.17,0.86,0.079
1.37,22.4,7.1,500,1,0.17,0.95,0.0826
0.75,11.2,7.1,500,2,0.33,0,0.0746
0.75,11.2,7.1,500,2,0.33,0.2,0.0746
0.75,11.2,7.1,500,2,0.33,0.49,0.0766
